"","state","county_name","county_crime_2016","inactivity_2016","median_house_income_2016","pop_2016","rural_2016","rec_resource_2016","county_crime_2018","inactivity_2018","median_house_income_2018","pop_2018","rural_2018","rec_resource_2018","county_crime_2020","inactivity_2020","median_house_income_2020","pop_2020","rural_2020","rec_resource_2020"
"2368","SC","Barnwell County",813.79634526,0.31,32205,21959,0.8254276999,0.3700101675,770.47365429,0.331,41803,21483,0.8254276999,0.5292869458,730.14419776,0.345,38131,21112,0.8254276999,0.5558551788
"2369","SC","Beaufort County",544.24944936,0.157,55427,175852,0.1964643445,0.8040102815,513.70967584,0.161,65354,183149,0.1964643445,0.8222926285,388.52511178,0.171,65843,188715,0.1964643445,0.8307434369
"2370","SC","Berkeley County",435.42489936,0.25,52436,198205,0.2895362764,0.7433916432,334.73847257,0.249,58690,210898,0.2895362764,0.6925996525,337.9659031,0.251,62204,221091,0.2895362764,0.7931265217
"2371","SC","Calhoun County",469.24568206,0.296,41209,14878,1,0.0999670511,418.30653323,0.32,41786,14796,1,0.1665897858,312.61680655,0.353,45385,14520,1,0.0501482702
"2372","SC","Charleston County",476.3993997,0.205,52752,381015,0.108809311,0.8187625104,406.68290634,0.199,56564,396484,0.108809311,0.6842514042,426.11384432,0.206,62958,405905,0.108809311,0.7994283414
"2373","SC","Cherokee County",348.8712462,0.341,38947,56024,0.6104947418,0.6364244155,337.49788507,0.309,38273,56646,0.6104947418,0.6662390228,389.64727602,0.398,42542,57078,0.6104947418,0.6887535687
"2374","SC","Chester County",721.75784574,0.297,37537,32337,0.7178334339,0.4449305975,614.28309908,0.308,39972,32181,0.7178334339,0.3704284852,688.79245108,0.346,42116,32251,0.7178334339,0.5878696439
"2375","SC","Chesterfield County",480.10098431,0.298,34949,46125,0.7376642273,0.4698292464,427.48836242,0.309,39869,46013,0.7376642273,0.3349595584,439.9700907,0.327,39046,45754,0.7376642273,0.5686438139
"2376","SC","Clarendon County",588.20739054,0.284,32268,34113,0.8570815819,0.4761087758,522.46503244,0.283,34541,33951,0.8570815819,0.2221840954,454.58557684,0.328,36722,33700,0.8570815819,0.4367046982
"2377","SC","Colleton County",697.00976837,0.306,35558,37771,0.7556824026,0.4060989407,752.10904274,0.307,35760,37923,0.7556824026,0.0835390312,807.93047546,0.345,39079,37660,0.7556824026,0.444924406
"2378","SC","Darlington County",820.81985418,0.318,35640,67799,0.5776415603,0.6941512209,660.22955001,0.312,37711,67234,0.5776415603,0.3085569517,675.85593597,0.318,37206,66802,0.5776415603,0.6543876764
"2379","SC","Dillon County",1229.3256833,0.36,30516,31127,0.6950595721,0.5506830516,1008.627252,0.345,31761,30858,0.6950595721,0.0850227684,913.61592807,0.37,33159,30599,0.6950595721,0.3116773751
"2380","SC","Dorchester County",473.31201604,0.223,56388,148469,0.194829922,0.7974808685,410.62115188,0.248,58167,153773,0.194829922,0.6166160155,461.31606646,0.242,65468,160647,0.194829922,0.7224488301
"2381","SC","Edgefield County",182.24805438,0.269,44129,26553,0.7331109876,0.4861219196,150.74429998,0.266,46816,26358,0.7331109876,0.315397443,98.651135437,0.306,48818,27052,0.7331109876,0.4280896795
"2382","SC","Fairfield County",709.8602506,0.286,35490,22976,0.7831440975,0.3391634664,628.84113562,0.289,36715,22653,0.7831440975,0.2310068459,725.71804429,0.366,39522,22402,0.7831440975,0.3238854567
"2383","SC","Florence County",521.30449152,0.273,42232,139231,0.385184644,0.5773021149,456.10474016,0.305,45044,138742,0.385184644,0.4332103591,560.25450321,0.321,47949,138159,0.385184644,0.4576104029
"2384","SC","Georgetown County",568.4480981,0.269,44283,60773,0.4151733768,0.6499717411,461.70290135,0.271,47842,61399,0.4151733768,0.4010106719,477.41281494,0.263,46058,62249,0.4151733768,0.6944213571
"2385","SC","Greenville County",572.01481588,0.234,49659,482752,0.1260568453,0.8208233143,590.48876497,0.208,55452,498766,0.1260568453,0.7054773118,532.54528161,0.222,61162,514213,0.1260568453,0.7991556319
"2386","SC","Greenwood County",1351.1717118,0.251,38878,69520,0.3975251575,0.8632951006,818.5435243,0.275,40599,70133,0.3975251575,0.4307001048,617.00182815,0.29,43879,70741,0.3975251575,0.7448500596
"2387","SC","Hampton County",770.63622714,0.325,33644,20405,0.7847321005,0.3456140351,644.33715928,0.304,35667,19922,0.7847321005,0.0486486486,723.34293948,0.344,35871,19351,0.7847321005,0.4481270744
"2388","SC","Horry County",658.1321189,0.234,42830,298832,0.3037569024,0.8379893869,590.71945291,0.255,45608,322342,0.3037569024,0.6064777508,569.06809604,0.253,49082,344147,0.3037569024,0.8419850645
"2389","SC","Jasper County",350.70007173,0.272,37715,27170,0.6667070267,0.6848286718,288.81963974,0.304,41902,28465,0.6667070267,0.0517415345,317.81372883,0.284,43125,28971,0.6667070267,0.5193526254
"2390","SC","Kershaw County",492.03649627,0.294,45411,63161,0.5768027619,0.5866087492,442.32280538,0.302,48824,64097,0.5768027619,0.2790573286,349.2597895,0.28,52270,65592,0.5768027619,0.5238342221
"2391","SC","Lancaster County",516.65049002,0.239,44854,83160,0.4995433909,0.5452956218,500.4967555,0.27,53421,89594,0.4995433909,0.355907217,409.70847187,0.263,58035,95380,0.4995433909,0.59737515
"2392","SC","Laurens County",721.8546341,0.33,38268,66533,0.6419435803,0.6048364068,639.37532181,0.319,43191,66777,0.6419435803,0.4012654613,550.95178046,0.31,42099,66994,0.6419435803,0.5397147452
"2393","SC","Lee County",593.22033898,0.307,31510,18343,0.7195109261,0.0294484912,629.24562031,0.296,32015,17635,0.7195109261,0.0393340271,610.01086321,0.321,33199,17142,0.7195109261,0.3899063476
"2394","SC","Lexington County",374.27465421,0.258,54098,277888,0.2527601938,0.7523238221,341.31746823,0.238,57623,286196,0.2527601938,0.531740799,345.84698675,0.232,60627,295032,0.2527601938,0.6336345378
"2395","SC","McCormick County",380.92137392,0.319,38694,9846,1,0.9719534838,243.79654677,0.283,43262,9643,1,0.9641356396,240.45840581,0.271,44683,9410,1,0.9641356396
"2396","SC","Marion County",892.97360209,0.312,32283,31933,0.6075252556,0.6664751074,782.91523201,0.352,31556,31726,0.6075252556,0.0448551207,741.82805373,0.381,34365,31039,0.6075252556,0.5933397859
"2397","SC","Marlboro County",1164.5953807,0.327,31170,27924,0.5504786922,0.4290602426,1039.9329532,0.338,32991,26945,0.5504786922,0.0015898801,895.21945562,0.319,33534,26398,0.5504786922,0.2692427332
"2398","SC","Newberry County",383.14851189,0.262,42000,37783,0.6784952543,0.593873307,362.95082545,0.283,42128,38079,0.6784952543,0.4278020689,290.03849602,0.313,48029,38520,0.6784952543,0.5408979418
"2399","SC","Oconee County",525.40106952,0.244,39548,75192,0.6492130384,0.6896988138,505.48681348,0.251,46996,76355,0.6492130384,0.3671455307,370.49489416,0.228,50529,78374,0.6492130384,0.6359242255
"2400","SC","Orangeburg County",511.48179608,0.275,31382,90090,0.6377768889,0.5131728306,515.5810272,0.269,34557,87903,0.6377768889,0.2479216441,500.93466389,0.288,37134,86934,0.6377768889,0.4149360547
"2401","SC","Pickens County",352.24256477,0.23,41375,120368,0.3579229014,0.5856538952,330.7641038,0.233,46154,122863,0.3579229014,0.5576142387,342.03864913,0.241,48794,124937,0.3579229014,0.7470307992
"2402","SC","Richland County",946.75307082,0.221,49782,401566,0.0907038678,0.8075364626,837.78978059,0.211,51973,409549,0.0907038678,0.6547942284,796.20056957,0.249,52611,414576,0.0907038678,0.7596617981
"2403","SC","Saluda County",506.22793579,0.282,42286,20026,0.8052830189,0.4510188679,368.2874633,0.289,43685,20197,0.8052830189,0.1370566038,312.27539716,0.333,46019,20544,0.8052830189,0.4357735849
"2404","SC","Spartanburg County",483.72916277,0.265,44050,293542,0.2743231788,0.7451346608,426.26389475,0.267,47706,301463,0.2743231788,0.5340529779,419.47028626,0.278,53567,313888,0.2743231788,0.7705086403
"2405","SC","Sumter County",927.47462613,0.298,37906,107919,0.3196564175,0.6663192376,696.46215633,0.285,41205,107396,0.3196564175,0.3668012954,621.01756315,0.28,45181,106512,0.3196564175,0.6856108547
"2406","SC","Union County",603.13492564,0.342,37501,27876,0.6535685922,0.5406926556,525.46816039,0.295,39119,27673,0.6535685922,0.4863437036,671.45505931,0.302,40686,27410,0.6535685922,0.65280895
"2407","SC","Williamsburg County",600.11439984,0.338,29609,32695,0.8193649595,0.3642332162,485.90383071,0.312,28314,31955,0.8193649595,0.0420939488,531.05766427,0.342,32814,30606,0.8193649595,0.203294309
"2408","SC","York County",514.90983987,0.216,54196,245346,0.2295497472,0.7920715875,439.3378032,0.223,61044,258526,0.2295497472,0.6470476351,383.79011216,0.243,64904,274118,0.2295497472,0.7280303265
"2409","SD","South Dakota",281.80695981,0.2395076134,51059,853175,0.4334827679,0.6742845562,321.63943674,0.215,54926,865454,0.4334827679,0.723181606,372.79715401,0.213,57041,882235,0.4334827679,0.7352686138
"2410","SD","Aurora County",0,0.314,50896,2745,1,NA,60.79766537,0.24,50482,2736,1,0.6055350554,18.315018315,0.187,53107,2801,1,0.5782287823
"2411","SD","Beadle County",242.29447231,0.263,49583,18169,0.2736521439,0.6402460053,287.00514758,0.257,48716,18101,0.2736521439,0.651051845,258.15918911,0.194,49712,18883,0.2736521439,0.6811702495
"2412","SD","Bennett County",221.49460709,0.269,34326,3430,1,0.0201107549,413.70021166,0.256,33973,3460,1,0.0402215098,451.30295531,0.227,37071,3468,1,0.0402215098
"2413","SD","Bon Homme County",0,0.266,47987,7023,1,0.4848656294,4.7221041696,0.248,48889,6984,1,0.6045261669,14.281633819,0.272,50278,6980,1,0.6680339463
"2414","SD","Brookings County",30.957196516,0.196,52930,33314,0.2966682309,0.8037541061,59.665871122,0.166,58591,34135,0.2966682309,0.8268105741,114.15863603,0.148,62109,35232,0.2966682309,0.837603629
"2415","SD","Brown County",202.21591016,0.229,53150,38408,0.2889053133,0.6727984452,226.89067911,0.219,53039,39128,0.2889053133,0.7415345871,311.83214828,0.211,60082,39316,0.2889053133,0.7923407517
"2416","SD","Brule County",213.67521368,0.243,47224,5309,1,0.5360608944,530.44769786,0.241,49724,5238,1,0.6546146527,662.04287516,0.249,49732,5229,1,0.6302568982
"2417","SD","Buffalo County",NA,0.314,21658,2077,1,NA,NA,0.273,22500,2043,1,0,NA,0.236,25973,2036,1,0
"2418","SD","Butte County",159.52078654,0.241,41446,10298,0.4817012859,0.5456973294,199.37614561,0.235,44052,10205,0.4817012859,0.6205736894,154.72391452,0.216,44388,10222,0.4817012859,0.7235410485
